3.75	 -0.48	 0.03	 0.09	 -0.33	 0.93	 -2.19	 4.51	 -8.47	 15.21	 -27.50	 
3.27	 -0.45	 0.12	 -0.24	 0.60	 -1.26	 2.32	 -3.96	 6.74	 -12.29	 0.00	 
2.82	 -0.33	 -0.12	 0.36	 -0.66	 1.06	 -1.64	 2.78	 -5.55	 0.00	 0.00	 
2.49	 -0.45	 0.24	 -0.30	 0.40	 -0.58	 1.14	 -2.77	 0.00	 0.00	 0.00	 
2.04	 -0.21	 -0.06	 0.10	 -0.18	 0.56	 -1.63	 0.00	 0.00	 0.00	 0.00	 
1.83	 -0.27	 0.04	 -0.08	 0.38	 -1.07	 0.00	 0.00	 0.00	 0.00	 0.00	 
1.56	 -0.23	 -0.04	 0.30	 -0.69	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 
1.33	 -0.27	 0.26	 -0.39	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 
1.06	 -0.01	 -0.13	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 
1.05	 -0.14	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 
0.91	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 
0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 

2.84	 0.47	 0.39	 0.75	 1.29	 2.32	 4.51	 8.47	 15.21	 27.50	 0.00	 
